type	a	b	c	d	dir	exp_a	DP_rows	RR_rows	OR	MS	Dice	PMI	chi2_signed	G_signed	t	p_fisher_1
embassy	15	70050	52	2498624	1	1.82749253428041	0.000193275897772236	10.2871893681142	10.2891780596277	0.000214086919289231	0.000427764786402783	3.03702508315372	97.6119514678024	39.6731316938727	3.40113673321051	3.1019187218817e-10
bloomberg	14	70051	113	2498563	1	3.46405301274048	0.000154590507399043	4.41833266075938	4.41901582955427	0.000199814458003283	0.000398905858217461	2.01489391328841	32.945375991607	18.9603076979934	2.81585794995998	1.08253149344595e-05
bolsonaro	14	70051	19	2498657	1	0.900108263153039	0.000192210430910534	26.2774521403058	26.2825039501296	0.000199814458003283	0.000399440782903934	3.95918448070213	196.000245735703	56.9151300290633	3.50110287527275	6.32827124036339e-14
brexit	14	70051	77	2498599	1	2.48211672566444	0.000168998137680039	6.48404663202351	6.48514264282776	0.000199814458003283	0.000399110553623354	2.49578395986188	54.9476220812862	26.9729500761489	3.07829217667551	1.86644207200715e-07
ryan	14	70051	82	2498594	1	2.61849676553611	0.00016699707791879	6.08867793494891	6.08969492958266	0.000199814458003283	0.000399082111144368	2.41861609933942	50.8597022867574	25.6269523024172	3.04184297852057	3.68041496612292e-07
monetary	13	70052	106	2498570	1	3.24584494894581	0.000143119529778843	4.37367296405359	4.37429903823467	0.000185541996717334	0.000370454804513849	2.00184563283612	30.1357518726302	17.4160582662042	2.70532270603362	2.43138200544113e-05
nissan	13	70052	18	2498658	1	0.84555624720437	0.000178338181576836	25.7560741216489	25.760668265479	0.000185541996717334	0.000370919881305638	3.94246708575719	179.61528311164	52.4780467853809	3.37104469752024	6.00852700927135e-13
shanghai	13	70052	81	2498595	1	2.56394474958744	0.000153124828585091	5.7235720270331	5.72444861066171	0.000185541996717334	0.000370586809960233	2.34207454446643	43.6707189730328	22.5771624816526	2.89444827179686	1.76419665254279e-06
smoking	13	70052	25	2498651	1	1.03648830302471	0.000175536697911086	18.5443733675872	18.5476291897448	0.000185541996717334	0.000370882843815529	3.64873588270048	141.961228381862	46.2062143728246	3.31808953910653	1.31901156663616e-11
themes	13	70052	12	2498664	1	0.681900199358363	0.000180739453290335	38.6341111824734	38.6410951864329	0.000185541996717334	0.000370951633613925	4.25280720636934	228.760595465428	59.694038447446	3.41643483330342	1.765254609154e-14
2003	12	70053	77	2498599	1	2.42756470971577	0.000140453215108142	5.55775425602015	5.55853499419085	0.000171269535431385	0.0003421045129287	2.30545274775773	38.8060539055389	20.3086675589581	2.76333050034769	5.71834629370382e-06
admissions	12	70053	44	2498632	1	1.52745644656273	0.000153660209532389	9.72606994803527	9.72756471398928	0.000171269535431385	0.0003422655124713	2.97383125666653	73.8168238733835	30.6842459045227	3.02316998129047	3.09318034519279e-08
chancellor	12	70053	80	2498596	1	2.50939273363877	0.000139252579251392	5.3493384714194	5.35008350820093	0.000171269535431385	0.000342089884117052	2.25762422266712	36.9016083273831	19.6209763134473	2.73970872935289	8.10529537664806e-06
der	12	70053	13	2498663	1	0.681900199358363	0.000166066780052136	32.9190059779655	32.9244736677395	0.000171269535431385	0.0003424168925667	4.13732998894941	193.126033030124	52.5455058343846	3.26726161490338	6.32716101733877e-13
dubrow	12.5	70053.5	0.5	2498676.5	1	0.354592888428309	0.000178203113925271	891.54404418691	891.702948460819	0.000178403219821311	0.00035674025028896	5.13962068224414	427.668109474016	85.8345628521484	3.43524824984666	0
ig	12	70053	44	2498632	1	1.52745644656273	0.000153660209532389	9.72606994803527	9.72756471398928	0.000171269535431385	0.0003422655124713	2.97383125666653	73.8168238733835	30.6842459045227	3.02316998129047	3.09318034519279e-08
leyen	12	70053	6	2498670	1	0.490968143538021	0.000168868263717886	71.3245129522586	71.3365594621215	0.000171269535431385	0.000342451093703181	4.61126117728182	277.356077033749	63.8612394242352	3.32237908055791	2.66453525910038e-15
mainsail	12.5	70053.5	0.5	2498676.5	1	0.354592888428309	0.000178203113925271	891.54404418691	891.702948460819	0.000178403219821311	0.00035674025028896	5.13962068224414	427.668109474016	85.8345628521484	3.43524824984666	0
moh	12	70053	37	2498639	1	1.33652439074239	0.000156461693198138	11.5661372355014	11.5679472029093	0.000171269535431385	0.000342299683372793	3.16647633460892	87.4660124737514	33.9373743598135	3.07828744694499	6.10239414555735e-09
smokers	12	70053	2	2498674	1	0.381864111640683	0.000170469111526885	213.973538856776	214.010020984112	0.000171269535431385	0.000342470640277401	4.97383125666653	363.393201684408	75.0712903613216	3.35387477521764	0
thunberg	12	70053	4	2498672	1	0.436416127589352	0.000169668687622386	106.986769428388	107.004924842619	0.000171269535431385	0.000342460866711377	4.78118617872413	314.990311125919	68.6704237066139	3.33812692788777	2.22044604925031e-16
von	12	70053	14	2498662	1	0.709176207332697	0.000165666568099886	30.5676484081108	30.5727133129814	0.000171269535431385	0.000342412007247721	4.08074646058304	184.804214348183	51.3284997954626	3.25938769123844	1.14552811680824e-12
badge	11	70054	4	2498672	1	0.409140119615018	0.000155396226336437	98.0712053093556	98.0864475975676	0.000156997074145436	0.000313926940639269	4.74876470103175	281.840424937176	62.0638813823886	3.19327123997527	7.66053886991358e-15
leg	11	70054	34	2498642	1	1.22742035884505	0.000143389867768939	11.5377888599242	11.5394435217202	0.000156997074145436	0.000313792611610327	3.1638022003106	79.9913625737578	31.0669738696931	2.94654993654147	2.67347909366222e-08
skin	11	70054	30	2498646	1	1.11831632694771	0.000144990715577939	13.0761607079141	13.0780569275131	0.000156997074145436	0.000313810515505092	3.29810329202219	89.7665498240994	33.2118079373475	2.97944611033265	9.20267617665615e-09
soros	11	70054	2	2498674	1	0.354588103666349	0.000156196650240937	196.142410618711	196.173052216861	0.000156997074145436	0.000313935899997146	4.95521557849918	328.558985633277	68.1883353378622	3.20971932687086	4.44089209850063e-16
syndrome	11	70054	76	2498600	1	2.3730126937671	0.000126580965774443	5.16164238470293	5.16229585297357	0.000156997074145436	0.000313604743984491	2.21271180079154	32.2435861381148	17.400240006623	2.60114011173415	2.5766557951723e-05
wildlife	11	70054	77	2498599	1	2.40028870174144	0.000126180753822193	5.09460806801847	5.095251010445	0.000156997074145436	0.000313600273687512	2.19622367800297	31.6759401079244	17.1868434604431	2.59291606828635	2.87227283370939e-05
assessments	10	70055	37	2498639	1	1.28197237479372	0.000127916770626241	9.63844769625116	9.63968079134734	0.000142724612859488	0.000285257873117298	2.9635629212127	60.9503401354855	25.4282868193934	2.75688776622098	4.67637018553013e-07
bats	10	70055	56	2498620	1	1.80021652630608	0.000120312743533493	6.36826008502309	6.36902637723421	0.000142724612859488	0.000285180590609003	2.47375765353188	38.3973767846304	18.9899569657886	2.59300425694084	1.1886093001845e-05
mandate	10	70055	60	2498616	1	1.90932055820342	0.000118711895724493	5.94370941268822	5.94441510241953	0.000142724612859488	0.000285164325942825	2.38886875594537	35.2462849028787	17.9382202833879	2.55850246551345	2.02416548916728e-05
marks	10	70055	49	2498627	1	1.60928447048574	0.000123114227199242	7.27801152574068	7.27890768040854	0.000142724612859488	0.00028520905823969	2.6355087235285	44.9764860826583	21.0468422077041	2.65338239193879	4.21058676192132e-06
queen	10	70055	64	2498612	1	2.01842459010075	0.000117111047915493	5.5722275743952	5.57288023695668	0.000142724612859488	0.000285148063131781	2.30869840726139	32.4479749061318	16.9628210818852	2.52400067408605	3.32030265427496e-05
revolution	10	70055	25	2498651	1	0.954660279101708	0.00013271931405324	14.2649025904517	14.2667960887874	0.000142724612859488	0.000285306704707561	3.38886875594537	88.1083770543383	31.5400303972292	2.86039314050317	2.23615352901163e-08
ski	10	70055	24	2498652	1	0.927384271127373	0.00013311952600549	14.8592735317205	14.8612518735279	0.000142724612859488	0.000285310774761409	3.43068893164	91.2475953307367	32.1693690830951	2.86901858836002	1.63763970162378e-08
snow	10	70055	44	2498632	1	1.47290443061406	0.000125115286960492	8.10505829002939	8.10607250147611	0.000142724612859488	0.000285229395741525	2.76326427072687	50.7513027082504	22.719766942651	2.69650963122304	1.81583351732684e-06
transmitted	10	70055	81	2498595	1	2.48211672566444	0.000110307444727245	4.40274771310238	4.40323343827733	0.000142724612859488	0.000285078966873824	2.01035713269164	23.4096388387844	13.4919143579552	2.37736806051961	0.000195303114811862
treaty	10	70055	11	2498665	1	0.572796167461025	0.000138322281384739	32.4202331601176	32.4247182408627	0.000142724612859488	0.000285363696030591	4.12583435011158	159.506951170406	43.5801232649342	2.98114941049906	6.09756689584628e-11
addiction	9	70056	22	2498654	1	0.84555624720437	0.000119647488624041	14.5891049220529	14.5908506960665	0.000128452151573539	0.000256790687057749	3.41195236905841	80.8466061923204	28.6979554018412	2.71815267934672	9.76147008779904e-08
amna	9.5	70056.5	0.5	2498676.5	1	0.272763760329469	0.000135386341168156	677.573473582051	677.665220215112	0.000135586447064197	0.000271134197157372	5.12220362916673	320.899350229077	64.491551380848	2.9937162876632	8.14903700074865e-14
anderson	9	70056	57	2498619	1	1.80021652630608	0.000105640070295294	5.6308826014941	5.63147752474712	0.000128452151573539	0.000256662531548103	2.32175456008683	29.6029954177174	15.4083409222399	2.39993202884354	7.58103554056033e-05
bomb	9	70056	17	2498659	1	0.709176207332697	0.00012164854838529	18.8800181344214	18.8823151562783	0.000128452151573539	0.000256809005435791	3.66570896130419	99.6451078208113	32.2310117199337	2.76361277227574	1.7119951456479e-08
boundary	9	70056	7	2498669	1	0.436416127589352	0.000125650667907789	45.8514726121663	45.8572346204669	0.000128452151573539	0.000256845650033533	4.36614867944529	172.752124541595	43.2896503481811	2.8545329581338	8.03053179510016e-11
buzyn	9	70056	1	2498675	1	0.272760079743345	0.000128051939621289	320.960308285164	321.00141315519	0.000128452151573539	0.000256867641812344	5.04422058455792	287.068199086041	58.3862281846398	2.90908506964863	8.14903700074865e-14
cigarette	9	70056	6	2498670	1	0.409140119615018	0.000126050879860039	53.493384714194	53.5001284686536	0.000128452151573539	0.000256849315068493	4.45925808383677	185.444565903911	44.9740520279061	2.8636249767196	3.60163010526549e-11
cloudflare	9	70056	15	2498661	1	0.654624191384028	0.00012244897228979	21.3973538856776	21.3999743062693	0.000128452151573539	0.000256816333518812	3.78118617872413	109.374020471998	33.9070938758936	2.78179680944735	7.52758300137657e-09
courtenay	9.5	70056.5	0.5	2498676.5	1	0.272763760329469	0.000135386341168156	677.573473582051	677.665220215112	0.000135586447064197	0.000271134197157372	5.12220362916673	320.899350229077	64.491551380848	2.9937162876632	8.14903700074865e-14
deserve	9	70056	41	2498635	1	1.36380039871673	0.000112043461531292	7.82830020207716	7.82917742461083	0.000128452151573539	0.000256721101048278	2.72229248967056	43.9564444858241	19.9606693372606	2.54540432621642	7.59578575193487e-06
ecosystem	9	70056	32	2498644	1	1.11831632694771	0.000115645369101542	10.0300096339114	10.0311697070915	0.000128452151573539	0.00025675405814053	3.0085966748272	57.107170163334	23.446516342155	2.62723249348867	1.32543887765291e-06
firmwide	9.5	70056.5	0.5	2498676.5	1	0.272763760329469	0.000135386341168156	677.573473582051	677.665220215112	0.000135586447064197	0.000271134197157372	5.12220362916673	320.899350229077	64.491551380848	2.9937162876632	8.14903700074865e-14
greta	9	70056	6	2498670	1	0.409140119615018	0.000126050879860039	53.493384714194	53.5001284686536	0.000128452151573539	0.000256849315068493	4.45925808383677	185.444565903911	44.9740520279061	2.8636249767196	3.60163010526549e-11
